,PriceUpdateDate,ItemCode,ItemType,ItemNm,ManufacturerName,ManufactureCountry,ManufacturerItemDescription,UnitQty,Quantity,UnitOfMeasure,bIsWeighted,QtyInPackage,ItemPrice,UnitOfMeasurePrice,AllowDiscount,ItemStatus,Location
26,2022-02-28 13:15:00,3073781122572,1,גבינה לואש קירי בכוס 140 ג',לא ידוע,לא ידוע,גבינה לואש קירי בכוס 140 ג',יחידה,1,יחידה,0,12.0000,10.9,10.9000,0,1,16 עכו
27,2022-02-28 13:09:00,4008239288219,1,חטיף חתולים גבינה ויטקראפט  40 ג',לא ידוע,לא ידוע,חטיף חתולים גבינה ויטקראפט  40 ג',יחידה,1,יחידה,0,0.0000,15.9,15.9000,0,1,16 עכו
28,2022-02-28 13:10:00,5202390015618,1,גבינה צהובה טבעונית אורגינל ויאו לייף 200 ג',לא ידוע,לא ידוע,גבינה צהובה טבעונית אורגינל ויאו לייף 200 ג',יחידה,1,יחידה,0,12.0000,21.9,21.9000,0,1,16 עכו
29,2022-02-28 13:10:00,5202390016325,1,גבינה צהובה טבעונית בטעם מעושן ויאו לייף 200ג',לא ידוע,לא ידוע,גבינה צהובה טבעונית בטעם מעושן ויאו לייף 200ג',יחידה,1,יחידה,0,12.0000,21.9,21.9000,0,1,16 עכו
30,2022-02-28 13:10:00,5998711388928,1,טוק קרקרים  עם גבינה 100ג',לא ידוע,לא ידוע,טוק קרקרים  עם גבינה 100ג',יחידה,1,יחידה,0,24.0000,5.9,5.9000,0,1,16 עכו
31,2022-02-28 13:10:00,6291108340042,1,ממרח גבינה צ'דר מותכת עם שומן צמחי 30% - 500 ג',לא ידוע,לא ידוע,ממרח גבינה צ'דר מותכת עם שומן צמחי 30% - 500 ג',יחידה,1,יחידה,0,10.0000,19.9,19.9000,0,1,16 עכו
32,2022-02-28 13:15:00,7290000047546,1,כנען גבינה לבנה ללא מלח 5% 500 ג',לא ידוע,לא ידוע,כנען גבינה לבנה ללא מלח 5% 500 ג',יחידה,1,יחידה,0,15.0000,22.9,22.9000,0,1,16 עכו
33,2022-02-28 13:15:00,7290000048185,1,גבינה לבנה 5% שומן  250 ג' תנובה,לא ידוע,לא ידוע,גבינה לבנה 5% שומן  250 ג' תנובה,יחידה,1,יחידה,0,24.0000,4.7,4.7000,0,1,16 עכו
34,2022-02-28 13:54:00,7290000048192,1,גבינה לבנה 9% שומן 250 ג' תנובה,לא ידוע,לא ידוע,גבינה לבנה 9% שומן 250 ג' תנובה,יחידה,1,יחידה,0,24.0000,4.7,4.7000,0,1,16 עכו
35,2022-02-28 13:15:00,7290000048413,1,גבינה חמד %16 שקית  250 ג' פיראוס,לא ידוע,לא ידוע,גבינה חמד %16 שקית  250 ג' פיראוס,יחידה,1,יחידה,0,36.0000,17.3,17.3000,0,1,16 עכו
